country,indicator_code,indicator_name,year,value
Kazakhstan,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2015,3.56737402233377
Kazakhstan,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2016,12.5466202801438
Kazakhstan,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2017,2.85205738000704
Kazakhstan,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2018,0.196995426846668
Kazakhstan,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2019,2.05367649290766
Kazakhstan,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2020,4.21199990309163
Kazakhstan,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2021,2.31675874599247
Kazakhstan,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2022,2.25355434978679
Kazakhstan,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2023,2.18549414987511
Kazakhstan,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2024,0.678943746848058
Kazakhstan,FP.CPI.TOTL.ZG,Inflation rate (%),2015,6.67828585615244
Kazakhstan,FP.CPI.TOTL.ZG,Inflation rate (%),2016,14.3610942386248
Kazakhstan,FP.CPI.TOTL.ZG,Inflation rate (%),2017,7.44266321306792
Kazakhstan,FP.CPI.TOTL.ZG,Inflation rate (%),2018,6.16366247577757
Kazakhstan,FP.CPI.TOTL.ZG,Inflation rate (%),2019,5.33356098916675
Kazakhstan,FP.CPI.TOTL.ZG,Inflation rate (%),2020,6.71815454861464
Kazakhstan,FP.CPI.TOTL.ZG,Inflation rate (%),2021,8.04147134028391
Kazakhstan,FP.CPI.TOTL.ZG,Inflation rate (%),2022,15.0278644440851
Kazakhstan,FP.CPI.TOTL.ZG,Inflation rate (%),2023,14.7249900200331
Kazakhstan,FP.CPI.TOTL.ZG,Inflation rate (%),2024,8.83943897452672
Kazakhstan,NY.GDP.MKTP.CD,GDP (current USD),2015,184388404706.042
Kazakhstan,NY.GDP.MKTP.CD,GDP (current USD),2016,137278320084.171
Kazakhstan,NY.GDP.MKTP.CD,GDP (current USD),2017,166805788827.233
Kazakhstan,NY.GDP.MKTP.CD,GDP (current USD),2018,179339977690.485
Kazakhstan,NY.GDP.MKTP.CD,GDP (current USD),2019,181667184854.501
Kazakhstan,NY.GDP.MKTP.CD,GDP (current USD),2020,171082365861.423
Kazakhstan,NY.GDP.MKTP.CD,GDP (current USD),2021,197112255360.612
Kazakhstan,NY.GDP.MKTP.CD,GDP (current USD),2022,225496328925.494
Kazakhstan,NY.GDP.MKTP.CD,GDP (current USD),2023,261840101059.923
Kazakhstan,NY.GDP.MKTP.CD,GDP (current USD),2024,291480274648.826
Kazakhstan,SL.UEM.TOTL.ZS,Unemployment rate (%),2016,4.96
Kazakhstan,SL.UEM.TOTL.ZS,Unemployment rate (%),2017,4.9
Kazakhstan,SL.UEM.TOTL.ZS,Unemployment rate (%),2018,4.85
Kazakhstan,SL.UEM.TOTL.ZS,Unemployment rate (%),2019,4.8
Kazakhstan,SL.UEM.TOTL.ZS,Unemployment rate (%),2020,4.89
Kazakhstan,SL.UEM.TOTL.ZS,Unemployment rate (%),2021,5.568
Kazakhstan,SL.UEM.TOTL.ZS,Unemployment rate (%),2022,4.86
Kazakhstan,SL.UEM.TOTL.ZS,Unemployment rate (%),2023,4.835
Kazakhstan,SL.UEM.TOTL.ZS,Unemployment rate (%),2024,4.833
Kazakhstan,SL.UEM.TOTL.ZS,Unemployment rate (%),2025,4.771
Poland,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2015,3.29546177974363
Poland,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2016,3.81608753667806
Poland,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2017,2.37812836572029
Poland,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2018,3.34803923662527
Poland,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2019,3.15455649244208
Poland,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2020,3.31499059495462
Poland,BX.KLT.DINV.WD.GD.ZS,FDI net inflows (% of GDP),2021,5.44306737738578
