date,close,open,high,low,volume,name,ticker
2020-01-02,2200.1,2161.55,2200.57,2161.42,21370000.0,WIG20,WIG20
2020-01-03,2173.97,2192.31,2192.31,2159.03,20630000.0,WIG20,WIG20
2020-01-07,2145.01,2171.72,2176.8,2143.11,19560000.0,WIG20,WIG20
2020-01-08,2115.99,2140.29,2140.29,2114.24,20740000.0,WIG20,WIG20
2020-01-09,2157.61,2132.02,2157.61,2132.02,19890000.0,WIG20,WIG20
2020-01-10,2167.91,2161.6,2167.91,2150.83,16500000.0,WIG20,WIG20
2020-01-13,2194.42,2170.86,2194.42,2167.33,22070000.0,WIG20,WIG20
2020-01-14,2182.96,2194.88,2194.88,2174.44,29390000.0,WIG20,WIG20
2020-01-15,2165.08,2180.55,2183.85,2158.36,22750000.0,WIG20,WIG20
2020-01-16,2173.74,2170.39,2179.43,2163.83,20760000.0,WIG20,WIG20
2020-01-17,2175.95,2172.14,2181.62,2147.94,19780000.0,WIG20,WIG20
2020-01-20,2178.06,2178.31,2183.84,2173.92,15630000.0,WIG20,WIG20
2020-01-21,2158.04,2174.93,2174.93,2152.62,18930000.0,WIG20,WIG20
2020-01-22,2146.56,2168.44,2172.76,2144.68,27440000.0,WIG20,WIG20
2020-01-23,2148.41,2144.56,2159.55,2141.62,22560000.0,WIG20,WIG20
2020-01-24,2154.28,2150.57,2166.31,2150.57,17630000.0,WIG20,WIG20
2020-01-27,2083.79,2141.68,2141.68,2083.69,20980000.0,WIG20,WIG20
2020-01-28,2098.04,2089.16,2105.76,2083.54,17440000.0,WIG20,WIG20
2020-01-29,2098.18,2099.3,2114.31,2090.41,25640000.0,WIG20,WIG20
2020-01-30,2079.98,2078.74,2093.68,2064.09,23190000.0,WIG20,WIG20
2020-01-31,2065.9,2085.41,2087.93,2052.68,38290000.0,WIG20,WIG20
2020-02-03,2072.88,2062.33,2077.58,2050.91,25390000.0,WIG20,WIG20
2020-02-04,2106.63,2082.19,2115.25,2081.81,32250000.0,WIG20,WIG20
2020-02-05,2122.91,2106.64,2133.91,2102.45,21930000.0,WIG20,WIG20
2020-02-06,2111.76,2128.24,2138.87,2105.59,23410000.0,WIG20,WIG20
2020-02-07,2110.2,2107.43,2110.2,2092.36,18960000.0,WIG20,WIG20
2020-02-10,2092.89,2108.67,2112.78,2087.72,16129999.999999998,WIG20,WIG20
2020-02-11,2107.4,2099.2,2114.89,2094.39,21360000.0,WIG20,WIG20
2020-02-12,2126.31,2120.01,2132.78,2115.92,21380000.0,WIG20,WIG20
2020-02-13,2120.07,2125.22,2125.22,2096.14,19110000.0,WIG20,WIG20
2020-02-14,2115.29,2126.64,2131.28,2111.22,20890000.0,WIG20,WIG20
2020-02-17,2121.14,2125.14,2131.6,2117.45,14220000.0,WIG20,WIG20
2020-02-18,2113.49,2112.15,2118.48,2103.76,13880000.0,WIG20,WIG20
2020-02-19,2115.18,2116.32,2122.67,2097.07,21470000.0,WIG20,WIG20
2020-02-20,2099.88,2115.39,2116.08,2098.12,20480000.0,WIG20,WIG20
2020-02-21,2088.53,2095.8,2106.18,2084.55,16530000.000000002,WIG20,WIG20
2020-02-24,2000.9,2070.66,2070.66,1997.84,25030000.0,WIG20,WIG20
2020-02-25,1945.71,2000.65,2007.34,1945.71,32360000.0,WIG20,WIG20
2020-02-26,1933.51,1942.66,1957.64,1906.06,33549999.999999996,WIG20,WIG20
2020-02-27,1850.61,1926.15,1927.44,1833.92,33430000.0,WIG20,WIG20
2020-02-28,1768.91,1817.79,1817.79,1735.37,70090000.0,WIG20,WIG20
2020-03-02,1807.7,1807.25,1840.57,1765.43,40210000.0,WIG20,WIG20
2020-03-03,1889.67,1827.36,1906.87,1827.36,39060000.0,WIG20,WIG20
2020-03-04,1860.95,1882.71,1894.23,1857.9,28140000.0,WIG20,WIG20
2020-03-05,1822.85,1879.11,1893.88,1822.76,25500000.0,WIG20,WIG20
2020-03-06,1764.81,1808.36,1808.36,1749.7,34440000.0,WIG20,WIG20
2020-03-09,1625.99,1685.28,1697.38,1609.08,40490000.0,WIG20,WIG20
2020-03-10,1599.48,1643.34,1657.09,1594.07,39330000.0,WIG20,WIG20
2020-03-11,1505.64,1607.3,1616.03,1495.87,44940000.0,WIG20,WIG20
2020-03-12,1305.73,1450.71,1450.71,1305.73,57190000.0,WIG20,WIG20
2020-03-13,1365.97,1334.37,1442.72,1315.96,74140000.0,WIG20,WIG20
2020-03-16,1341.54,1342.4,1356.01,1248.77,64569999.99999999,WIG20,WIG20
2020-03-17,1429.28,1370.79,1446.74,1355.07,81570000.0,WIG20,WIG20
2020-03-18,1401.29,1425.27,1465.58,1376.75,78270000.0,WIG20,WIG20
2020-03-19,1469.43,1406.71,1469.43,1386.83,51610000.0,WIG20,WIG20
2020-03-20,1488.42,1502.14,1547.74,1476.65,109520000.0,WIG20,WIG20
2020-03-23,1405.45,1461.22,1463.93,1400.71,43980000.0,WIG20,WIG20
2020-03-24,1451.02,1449.34,1473.02,1424.14,37400000.0,WIG20,WIG20
2020-03-25,1441.83,1487.75,1505.79,1413.22,47380000.0,WIG20,WIG20
2020-03-26,1492.01,1431.53,1492.87,1410.91,36790000.0,WIG20,WIG20
2020-03-27,1475.9,1494.31,1499.62,1465.48,33220000.0,WIG20,WIG20
2020-03-30,1477.65,1482.1,1484.62,1443.16,28430000.0,WIG20,WIG20
2020-03-31,1512.84,1486.89,1523.49,1484.33,59770000.0,WIG20,WIG20
2020-04-01,1482.42,1495.43,1500.43,1473.64,36500000.0,WIG20,WIG20
2020-04-02,1491.55,1490.41,1501.33,1464.86,48120000.0,WIG20,WIG20
2020-04-03,1506.48,1492.1,1509.07,1474.44,49710000.0,WIG20,WIG20
2020-04-06,1581.05,1534.81,1585.04,1534.81,45610000.0,WIG20,WIG20
2020-04-07,1603.5,1602.14,1655.29,1602.14,64700000.0,WIG20,WIG20
2020-04-08,1579.18,1602.33,1619.63,1567.84,55930000.0,WIG20,WIG20
2020-04-09,1615.72,1596.79,1619.77,1579.72,50390000.0,WIG20,WIG20
2020-04-14,1662.4,1631.5,1664.53,1625.89,46440000.0,WIG20,WIG20
2020-04-15,1606.21,1669.23,1673.58,1602.31,50590000.0,WIG20,WIG20
2020-04-16,1597.9,1610.81,1617.55,1589.83,43490000.0,WIG20,WIG20
2020-04-17,1625.59,1618.42,1633.53,1612.01,41660000.0,WIG20,WIG20
2020-04-20,1640.06,1629.69,1643.87,1604.98,28320000.0,WIG20,WIG20
2020-04-21,1573.44,1631.4,1631.4,1572.05,33520000.000000004,WIG20,WIG20
2020-04-22,1605.12,1574.07,1609.82,1554.34,32630000.000000004,WIG20,WIG20
2020-04-23,1626.1,1609.41,1626.82,1589.64,30890000.0,WIG20,WIG20
2020-04-24,1601.91,1617.91,1627.49,1601.91,26300000.0,WIG20,WIG20
2020-04-27,1591.97,1614.29,1624.69,1580.48,34030000.0,WIG20,WIG20
2020-04-28,1594.25,1590.34,1622.8,1579.94,37310000.0,WIG20,WIG20
2020-04-29,1651.33,1601.65,1656.4,1600.78,35810000.0,WIG20,WIG20
2020-04-30,1648.68,1661.23,1682.13,1636.35,46690000.0,WIG20,WIG20
2020-05-04,1600.65,1630.24,1630.24,1597.7,23790000.0,WIG20,WIG20
2020-05-05,1598.84,1609.04,1616.34,1591.58,22420000.0,WIG20,WIG20
2020-05-06,1567.98,1604.6,1606.44,1565.07,34610000.0,WIG20,WIG20
2020-05-07,1587.35,1572.16,1602.76,1559.06,21760000.0,WIG20,WIG20
2020-05-08,1606.5,1600.54,1614.18,1599.51,15380000.0,WIG20,WIG20
2020-05-11,1587.31,1614.21,1619.36,1581.5,17940000.0,WIG20,WIG20
2020-05-12,1622.51,1589.69,1624.52,1584.01,29570000.0,WIG20,WIG20
2020-05-13,1614.32,1615.9,1634.77,1607.0,24390000.0,WIG20,WIG20
2020-05-14,1579.16,1605.68,1605.68,1559.52,26390000.0,WIG20,WIG20
2020-05-15,1572.55,1585.51,1597.04,1568.38,18370000.0,WIG20,WIG20
2020-05-18,1639.08,1585.92,1639.08,1585.92,29450000.0,WIG20,WIG20
2020-05-19,1640.18,1651.08,1658.34,1629.29,24490000.0,WIG20,WIG20
2020-05-20,1652.64,1640.26,1662.2,1634.44,24020000.0,WIG20,WIG20
2020-05-21,1637.84,1651.03,1653.92,1636.24,22160000.0,WIG20,WIG20
2020-05-22,1630.44,1632.27,1635.98,1617.76,19970000.0,WIG20,WIG20
2020-05-25,1644.74,1639.26,1650.39,1634.34,12110000.0,WIG20,WIG20
2020-05-26,1709.71,1657.26,1712.64,1657.26,58200000.0,WIG20,WIG20
2020-05-27,1707.59,1713.73,1763.02,1705.09,59900000.0,WIG20,WIG20
2020-05-28,1718.45,1722.43,1757.78,1694.6,59310000.0,WIG20,WIG20
2020-05-29,1722.65,1718.19,1722.65,1699.32,76820000.0,WIG20,WIG20
2020-06-01,1733.52,1733.13,1749.58,1722.77,36710000.0,WIG20,WIG20
2020-06-02,1736.36,1735.86,1739.48,1722.5,48470000.0,WIG20,WIG20
2020-06-03,1766.85,1741.91,1780.86,1741.36,61760000.0,WIG20,WIG20
2020-06-04,1786.58,1765.6,1786.58,1755.73,48700000.0,WIG20,WIG20
2020-06-05,1842.47,1794.38,1847.95,1794.38,59250000.0,WIG20,WIG20
2020-06-08,1841.25,1842.22,1852.69,1813.02,47830000.0,WIG20,WIG20
2020-06-09,1835.59,1848.11,1856.66,1811.96,63660000.0,WIG20,WIG20
2020-06-10,1841.18,1840.1,1846.29,1817.06,99910000.0,WIG20,WIG20
2020-06-12,1788.83,1792.35,1812.33,1754.16,89470000.0,WIG20,WIG20
2020-06-15,1741.47,1767.35,1767.35,1735.27,89290000.0,WIG20,WIG20
2020-06-16,1798.0,1765.17,1811.7,1765.17,66680000.00000001,WIG20,WIG20
2020-06-17,1787.81,1807.91,1812.65,1780.94,50200000.0,WIG20,WIG20
2020-06-18,1795.86,1787.9,1804.13,1780.45,75870000.0,WIG20,WIG20
2020-06-19,1807.85,1791.68,1809.23,1791.68,91770000.0,WIG20,WIG20
2020-06-22,1797.05,1805.25,1807.19,1786.99,43850000.0,WIG20,WIG20
